page_size,total_file_size,total_records,time
800,1451490,8304,0:00:01.787278
800,1474278,8304,0:00:01.693064
800,1443601,8304,0:00:01.636707
800,1504569,8304,0:00:01.764965
800,1511429,8304,0:00:01.803668
800,1501692,8304,0:00:01.736925
800,1486332,8304,0:00:01.874121
800,1475123,8304,0:00:01.857767
800,562771,8304,0:00:01.270641
900,1661213,8304,0:00:01.674959
900,1626964,8304,0:00:01.740835
900,1638703,8304,0:00:01.696179
900,1633686,8304,0:00:01.739377
900,1680734,8304,0:00:01.806882
900,1675747,8304,0:00:01.978359
900,1699150,8304,0:00:01.851990
900,1676123,8304,0:00:01.879310
900,1655020,8304,0:00:01.891219
900,382873,8304,0:00:01.081083
1000,1839962,8304,0:00:01.892948
1000,1820317,8304,0:00:01.923378
1000,1816257,8304,0:00:01.925579
1000,1811762,8304,0:00:01.840813
1000,1874936,8304,0:00:01.871795
1000,1891403,8304,0:00:02.065422
1000,1872209,8304,0:00:01.990614
1000,1839417,8304,0:00:02.087019
1000,562770,8304,0:00:01.423712
1000,1139,8304,0:00:01.171181
1000,1139,8304,0:00:00.456078
1000,1139,8304,0:00:00.392565
1000,1139,8304,0:00:00.390876
1000,1139,8304,0:00:00.391980
1000,1139,8304,0:00:00.416167
1000,1139,8304,0:00:00.465598
1000,1139,8304,0:00:00.478529
1000,1139,8304,0:00:00.433505
